#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.geneSymbol
uc010nxq.1	B7ZGX9	DDX11L1
uc001aal.1	Q8NH21	OR4F5
uc021oeg.2	C9J4L2	LOC729737
uc009vjk.2	C9J4L2	LOC100133331
uc021oei.1		LOC388312
uc010nxu.2	Q6IEY1	OR4F29
uc010nxv.2	Q6IEY1	OR4F29
uc009vjm.3	B4DGA0	LOC100133331
uc010nxx.2	A2ACH2	LINC00115
uc031pjl.1	I7FV78	SAMD11
uc031pjm.1	I7FC27	SAMD11
uc031pjn.1		SAMD11
uc031pko.1	H7C3J6	SAMD11
uc001abw.1	NP_689699	SAMD11
uc031pjo.1		SAMD11
uc031pjp.1	Q96NU1	SAMD11
uc031pjq.1	H7BY14	SAMD11
uc031pjr.1	Q96NU1	SAMD11
uc031pjs.1	I7F465	SAMD11
uc031pjt.1	Q96NU1	SAMD11
uc031pju.1	I7G276	SAMD11
uc031pjv.1	Q96NU1	SAMD11
uc031pjw.1		SAMD11
uc031pjx.1	I7G0Z6	SAMD11
uc031pjy.1	H7BY14	SAMD11
uc031pjz.1		SAMD11
uc031pka.1	I7FC29	SAMD11
uc031pkb.1	Q96NU1	SAMD11
uc031pkc.1	I7F467	SAMD11
uc031pkd.1		SAMD11
uc031pke.1	Q96NU1	SAMD11
uc031pkf.1		SAMD11
uc031pkg.1	I7F472	SAMD11
uc031pkh.1	I7FC29	SAMD11
uc031pki.1	I7G283	SAMD11
uc031pkj.1	I7G101	SAMD11
uc031pkk.1		SAMD11
uc031pkl.1		SAMD11
uc031pkm.1	I7FC33	SAMD11
uc031pkn.1		SAMD11
uc031pkp.1	Q96NU1	SAMD11
uc001abz.4	NP_056473	NOC2L
uc001aca.2	Q6TDP4	KLHL17
uc001acd.3	Q494U1-2	PLEKHN1
uc001ach.2	Q5SV97	C1orf170
uc001aci.2	Q9HCC6	HES4
uc001acj.4	P05161	ISG15
uc001ack.2	O00468	AGRN
uc021oen.1	E7ERA6	RNF223
uc001acu.2	Q96HA4-4	C1orf159
uc001acv.3		LOC254099
uc001acx.1	Q6ZQQ1	AK128833
uc001acy.2	Q6ZVT0	TTLL10
uc001add.3	Q9Y5U5-2	TNFRSF18
uc001ade.3	P43489	TNFRSF4
uc001adh.4	Q9BRK5	SDF4
uc001adk.3	Q96L58	B3GALT6
uc001adl.2	Q5T7M4	FAM132A
uc001ado.3	A8MYC7	UBE2J2
uc001adt.1	A6NNF7	SCNN1D
uc001aeb.2	Q96P50	ACAP3
uc001aed.3	Q8N0Z8	PUSL1
uc001aee.2	Q5TA45	CPSF3L
uc001aeo.3	Q5TA50	GLTPD1
uc010nyk.2	NP_689414	TAS1R3
uc001aer.4	O14640-2	DVL1
uc001aew.3	Q9BRK3	MXRA8
uc009vkb.1	Q9NWT8	AURKAIP1
uc001afi.2	Q96S94	CCNL2
uc001afm.3	B4DNA4	LOC148413
uc001afo.4	Q9BYC9	MRPL20
uc010nyo.2	E5RJM6	ANKRD65
uc010nyp.2	A6NKF7	TMEM88B
uc001afs.3	Q6PCB0	VWA1
uc001aft.2	Q5T2N8	ATAD3C
uc001afv.3	Q5T9A4	ATAD3B
uc001afz.2	Q9NVI7	ATAD3A
uc009vkf.3	Q5SV17	TMEM240
uc001agd.3	Q9NP77	SSU72
uc021oes.1	F2Z333	C1orf233
uc001agg.3	F8WA73	MIB2
uc001agp.3	O75900	MMP23B
uc001ahg.4	P0CK96	SLC35E2B
uc001ahi.1	J3KRS4	MMP23A
uc001agv.1	P21127-2	CDK11B
uc001ahx.2		AK097814
uc001aia.2	P0CK97	SLC35E2
uc001aie.3	Q5QPS4	NADK
uc001aif.3	P62873	GNB1
uc001aih.1	Q8TD86	CALML6
uc001aij.2	Q8NDY8	TMEM52
uc001aik.3	Q69YW0	C1orf222
uc001aim.1	Q9C0B2	KIAA1751
uc001aip.2	O14764	GABRD
uc001aiq.3	Q05513	PRKCZ
uc031pkt.1	NP_001243874	C1orf86
uc001aja.4	P12755	SKI
uc001ajb.1	Q5T089	MORN1
uc010nyy.2	Q5T088	MORN1
uc001aje.2	O15258	RER1
uc001ajg.3	O60683-2	PEX10
uc001aji.1	O75038	PLCH2
uc001ajm.1	Q9NVE7	PANK4
uc001ajn.3	Q5TA89	HES5
uc021oev.1		LOC100133445
uc001ajt.1		TNFRSF14
uc001ajr.3	Q92956	TNFRSF14
uc001ajv.2	NP_001182665	FAM213B
uc001ajy.2	Q495T6	MMEL1
uc021oey.1	A8MYJ7	TTC34
uc001ajz.3	Q8TDY3	ACTRT2
uc010nzg.1		FLJ42875
uc001akf.3	Q9HAZ2	PRDM16
uc001akg.4	Q5VV41	ARHGEF16
uc001akl.3	O75095	MEGF6
uc001akm.3	Q5T0D9	TPRG1L
uc031pkw.1	B4DPH8	TPRG1L
uc001ako.3	Q9P2S5	WRAP73
uc001akp.3	O15350	TP73
uc001akv.2	Q2M243	CCDC27
uc031pkx.1	B2RUZ4	SMIM1
uc001akw.4	B2RUZ4	SMIM1
uc001akx.1	Q8N1G4	LRRC47
uc031pky.1	B7Z7K9	CEP104
uc001aky.2	O60308	CEP104
uc001alc.3	O76075	DFFB
uc001alf.3	Q8IYL3	C1orf174
uc031pkz.1		C1orf174
uc001aln.3	Q9UKB5	AJAP1
uc001alo.4		BC037321
uc001alq.2	O75161	NPHP4
uc001aly.2	Q13303-3	KCNAB2
uc001amb.2	Q8TDI0	CHD5
uc001amd.3	P35268	RPL22
uc001amg.3	Q6ZRF8	RNF207
uc001amk.3	O60725	ICMT
uc009vly.2	Q5TGS1	HES3
uc001amp.2	Q6NV75	GPR153
uc001amt.3	NP_009205	ACOT7
uc001amx.3	Q9Y543	HES2
uc001amy.3	B1AK53	ESPN
uc031pla.1	B3KSV7	TNFRSF25
uc001anh.3	Q93038-11	TNFRSF25
uc010nzr.1	F5GZ21	PLEKHG5
uc001ans.3	NP_078930	NOL9
uc001ant.3	Q7RTX1	TAS1R1
uc001anx.3	P10074	ZBTB48
uc001aoa.3	Q9UJP4	KLHL21
uc001aob.4	Q86YI8	PHF13
uc001aod.3	Q8WTV1-3	THAP3
uc001aof.2	Q9NVH1	DNAJC11
uc001aoi.3	Q9Y6Y1	CAMTA1
uc001aol.3	Q15836	VAMP3
uc001aoo.3	P56645	PER3
uc001aos.3	O95399-2	UTS2
uc001aot.3	Q07011	TNFRSF9
uc001aox.4	Q99497	PARK7
uc001aoz.3	Q9UJM3	ERRFI1
uc001apb.3	Q9Y2W3	SLC45A1
uc001apg.1		BC113958
uc001apf.3	Q9P2R6	RERE
uc001apj.2	P06733	ENO1
uc031plc.1	Q5FC00	CA6
uc009vmo.1	Q6PXP3	SLC2A7
uc001apo.3	P22732	SLC2A5
uc001apq.1	Q5UAW9	GPR157
uc001aps.3		GPR157
uc009vmq.3		mir-34
uc001apt.3	O95479	H6PD
uc010oae.2	Q96BD6	SPSB1
uc001apw.3	Q9BSK2	SLC25A33
uc021ofy.1	Q5SNT2	TMEM201
uc001aqc.4	Q5SR53	C1orf200
uc001aqb.4	O00329	PIK3CD
uc001aqh.3	O94985	CLSTN1
uc001aql.1	Q9NSA3	CTNNBIP1
uc001aqm.3	Q8WZA0	LZIC
uc001aqp.3	Q9HAN9	NMNAT1
uc001aqq.3	Q96R05	RBP7
uc001aqs.4	O95155	UBE4B
uc001aqw.4	O60333-2	KIF1B
uc001arc.3	P52209	PGD
uc021ogd.1	Q8N2Z9-3	APITD1-CORT
uc001arj.3	O00273	DFFA
uc001arn.3	O75381	PEX14
uc001aro.4	Q86V15	CASZ1
uc010oao.2	G8JLG8	C1orf127
uc001art.3	Q13148	TARDBP
uc001aru.3	O00187	MASP2
uc001arz.1	P19623	SRM
uc001asa.3	Q01780	EXOSC10
uc001ase.4	O43827	ANGPTL7
uc001asd.3	P42345	MTOR
uc001asg.3	Q9Y5Z9	UBIAD1
uc001ash.4	Q9P2K9	PTCHD2
uc001asj.3	Q9UK22	FBXO2
uc001asm.3	Q9H4M3	FBXO44
uc001aso.3	Q9NRD1	FBXO6
uc009vnc.3	Q9UI95	MAD2L2
uc001asr.1	Q8NBI3	DRAXIN
uc001ass.2		AK125437
uc001asv.3	Q6RW13	AGTRAP
uc001asz.3	Q5SNV9	C1orf167
uc001atc.2	P42898	MTHFR
uc001ate.5	NP_001277	CLCN6
uc001ati.3	NP_006163	NPPA
uc001atj.3	P16860	NPPB
uc001atk.3	Q8IYS2	KIAA2013
uc001atm.3	Q02809	PLOD1
uc009vni.3	O95140	MFN2
uc001ato.2	Q5JXC2	MIIP
uc001atq.3	NP_001234	TNFRSF8
uc001att.3	P20333	TNFRSF1B
uc001atv.3	J3KP14	VPS13D
uc001auc.3	O75911	DHRS3
uc001auf.3	Q5VUY2	AADACL4
uc009vnn.1	Q5VUY0	AADACL3
uc001auh.3	Q8N1D5	C1orf158
uc001aui.3	O95522	PRAMEF12
uc001auj.2	O95521	PRAMEF1
uc001auk.2	O60813	PRAMEF11
uc009vno.2	B7ZW38	LOC649330
uc001aum.1	O60811	PRAMEF2
uc001aun.2	O60810	PRAMEF4
uc001auo.3	O60809	PRAMEF10
uc001aup.3	Q5VWM4	PRAMEF8
uc001auq.2	Q5VXH4	PRAMEF6
uc009vnq.1	A3QJZ6	PRAMEF22
uc010obg.2	NP_001130033	LOC440563
uc001aut.1	A3QJZ6	PRAMEF3
uc001auu.1	Q5VXH4	PRAMEF5
uc001auv.3	Q5VWM4	PRAMEF8
uc001auw.1	Q5VWM5	PRAMEF9
uc010obi.1	Q5VWM6	PRAMEF13
uc009vnu.1	Q5VWM3	PRAMEF19
uc001aux.3	Q5VWM1	PRAMEF16
uc009vnv.1	Q5VT98	PRAMEF20
uc001auy.2	Q5VWM4	PRAMEF8
uc001ava.1	Q5VWM5	PRAMEF9
uc009vny.1	Q5VWM3	PRAMEF19
uc009vnz.1	Q5VTA0	PRAMEF17
uc009voa.1	Q5VT98	PRAMEF20
uc001avb.3	Q5VT99	LRRC38
uc001avd.3	Q86YL7-3	PDPN
uc001avi.3	Q13029	PRDM2
uc001avm.4	Q674X7	KAZN
uc001avx.3	Q9NW97	TMEM51
uc001awb.2	B1AJZ9	FHAD1
uc001awh.2	Q96C19	EFHD2
uc001awi.1	Q99895	CTRC
uc001awk.3	P08217	CELA2A
uc001awl.3	NP_056933	CELA2B
uc001awn.4	P55211	CASP9
uc001aws.3	Q9Y2G8	DNAJC16
uc001awv.2	Q9BSE5	AGMAT
uc001awx.2	Q5TDH0	DDI2
uc010obn.2	Q92681	RSC1A1
uc010obo.2	Q8IWE5	PLEKHM2
uc001axb.1	Q6PIV7	SLC25A34
uc001axc.4	A0PJX8	TMEM82
uc001axe.1	Q8WUP2	FBLIM1
uc009vol.1	NP_001083060	UQCRHL
uc001axk.1	Q96T58	SPEN
uc001axl.4	Q13105	ZBTB17
uc001axn.3	Q8NEQ6	C1orf64
uc001axo.2	Q9UBY9	HSPB7
uc001axu.3	P51800	CLCNKA
uc001axz.4	Q96AQ9	FAM131C
uc001aya.2	P29317	EPHA2
uc001ayc.1	Q8IW93	ARHGEF19
uc001ayd.3	Q9BU20	RSG1
uc001ayg.3	Q6P3S6	FBXO42
uc001aym.5	Q7Z422	SZRD1
uc001ayn.3	Q7Z572	SPATA21
uc001ayq.3	Q9NVZ3-2	NECAP2
uc001ayv.2	Q8NA34	AX747988
uc001ayw.4	Q3BBV0	NBPF1
uc001azn.1	O95559	ESPNP
uc010ock.3	Q2TV78-2	MST1L
uc001azt.2	Q5TZA2	CROCC
uc001azw.3	P55001	MFAP2
uc001baa.2	Q9NQ11	ATP13A2
uc001bae.3	P21912	SDHB
uc001baf.3	Q9Y2J8	PADI2
uc001bah.1	Q9ULC6	PADI1
uc009vpb.1		PADI1
uc001bai.3	Q9ULW8	PADI3
uc001baj.2	Q9UM07	PADI4
uc001bak.1	Q6TGC4	PADI6
uc001bal.3	Q9P258	RCC2
uc001ban.3	NP_060595	ARHGEF10L
uc001bat.3	Q9H568	ACTL8
uc001bau.2	Q96ID5	IGSF21
uc001bax.3	Q5VTJ3	KLHDC7A
uc001bay.3	P23759	PAX7
uc001bba.1	Q8TE23	TAS1R2
uc001bbc.3	P30038	ALDH4A1
uc001bbd.2	Q5TF58	IFFO2
uc001bbi.3	Q5T4S7	UBR4
uc001bbo.4	Q8N766	EMC1
uc001bbs.3	Q9UKD2	MRTO4
uc021ohn.1	Q8NHP1-2	AKR7L
uc001bbv.1	O95154	AKR7A3
uc001bbw.3	O43488	AKR7A2
uc001bby.3	Q6ZP29	PQLC2
uc001bcf.2		AX748283
uc021ohr.1	P47756	CAPZB
uc021ohx.2		RPS14P3
uc021ohu.1	NP_001191012	MINOS1
uc001bcj.2	P41271-2	NBL1
uc031plj.1	NP_001265093	NBL1
uc001bcl.3	P50406	HTR6
uc001bcn.3	Q5TGY1	TMCO4
uc001bcr.3	Q9NXI6	RNF186
uc001bcs.4	Q5T2D3	OTUD3
uc001bct.1	Q9NZK7	PLA2G2E
uc010odb.2	P14555	PLA2G2A
uc001bcy.3	P39877	PLA2G5
