abbr,nameinst1
hg19,human
panTro4,chimp
gorGor3,gorilla
ponAbe2,orangutan
nomLeu3,gibbon
rheMac3,Rhesus.macaque
macFas5,crab.eating.macaque
papHam1,baboon
chlSab1,green.monkey
calJac3,marmoset
saiBol1,squirrel.monkey
otoGar3,bushbaby
tupChi1,Chinese.tree.shrew
speTri2,ground.squirrel
jacJac1,Egyptian.jerboa
micOch1,prairie.vole
criGri1,Chinese.hamster
mesAur1,golden.hamster
mm10,mouse
rn5,rat
hetGla2,naked.mole.rat
cavPor3,Guinea.pig
chiLan1,chinchilla
octDeg1,brush.tailed.rat
oryCun2,rabbit
ochPri3,pika
susScr3,pig
vicPac2,alpaca
camFer1,bactrian.camel
turTru2,dolphin
orcOrc1,killer.whale
panHod1,Tibetan.antelope
bosTau7,cow
oviAri3,sheep
capHir1,domestic.goat
equCab2,horse
cerSim1,white.rhinoceros
felCat5,cat
canFam3,dog
musFur1,ferret
ailMel1,panda
odoRosDi,Pacific.walrus
lepWed1,Weddell.seal
pteAle1,black.flying.fox
pteVam1,megabat
myoDav1,David.s.Myotis.bat
myoLuc2,microbat
eptFus1,big.brown.bat
eriEur2,hedgehog
sorAra2,shrew
conCri1,star.nosed.mole
loxAfr3,elephant
eleEdw1,Cape.elephant.shrew
triMan1,manatee
chrAsi1,Cape.golden.mole
echTel2,tenrec
oryAfe1,aardvark
dasNov3,armadillo
monDom5,opossum
sarHar1,Tasmanian.devil
macEug2,wallaby
ornAna1,platypus
choHof1,sloth
micMur1,mouse.lemur
tupBel1,tree.shrew
